"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","56.025307","56.413673","56.819692","57.180839","57.54604","57.899055","59.020027","59.278965","59.891591","60.517165","61.112408","61.703276","62.559029","63.301551","64.073979","64.363484","64.917424","65.540586","66.090768","66.6915","67.489939","68.845196","69.118364","69.381895","69.569743","69.724182","69.79177","71.509952","71.74834","71.817299","71.865635","71.940877","72.211431","72.39205","72.419081","72.502787","72.542593","72.669324","72.717248","72.82524","72.96288","73.123302","73.301849","73.50501","73.460233","73.943244","74.025143","74.318106","74.601356","74.940183","74.605259","75.44261","76.128241","76.899565","77.355967","77.897823","78.326515","78.603213","78.822141","79.208121","77.707961","74.655897","80.423803","",
"","AFE","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","32.3735642592271","32.5590048948415","33.1468266535107","33.3887199186554","33.7602246932136","34.0405266106808","34.2620352253511","35.0069459684021","35.3979056144292","35.7101649717703","36.0468214249185","36.2274344213064","35.8542115849778","36.744016234452","36.8279341088108","37.2032361096903","37.745853610567","38.0714273001107","37.9632563611461","38.6196829209238","39.2101992085045","39.4191613942543","39.6717556050231","37.924639931734","37.7335658694469","38.216384633936","38.9283490177099","40.3161477505043","40.0461695764609","40.1075109699485","39.5979180243139","39.5882157991614","39.2991127549581","39.4466676786372","39.6103257346538","39.7906625777913","39.2598648123089","39.4705794901333","38.6296618651473","38.9166216850699","40.5717145586259","40.8572754536785","41.0396215625074","41.5837802341541","42.152394452405","42.9359499790163","44.2390482976872","45.2533517480192","46.2441549383805","47.4954458956777","48.6104121221318","49.2267573887039","50.7118270654152","51.5556549023502","52.0068345781104","52.7512513284043","53.404528290829","54.118865318325","55.1859245672195","56.0800139346506","55.2246788246998","53.2070479980395","56.9171642811882","",
"Afganistán","AFG","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","18.0378","18.593135","19.117705","19.618148","20.142552","20.639531","21.151027","21.671464","22.258667","22.80533","23.357255","23.904343","24.494057","25.157604","25.814597","26.486469","27.162531","27.90807","25.182768","22.166086","22.494483","22.29578","15.954582","16.253796","8.932944","9.424605","18.04927","18.332042","25.992315","28.018046","28.74299","28.946754","29.918187","40.272603","38.261872","41.182319","42.308502","43.01833","40.829782","45.182389","45.636512","46.341707","48.174265","49.564073","50.651593","51.161977","51.113939","51.144636","52.633419","53.878932","54.537709","55.379848","56.150098","56.85901","56.691583","56.324885","56.801504","53.910567","53.350426","54.744389","50.415018","47.181208","62.618152","",
"","AFW","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","25.3832222189697","25.6495374217116","26.960692697588","27.192868762232","27.4269019844516","27.7551100746929","27.9810013489303","27.1127518765004","28.185527694136","28.5563837583457","30.0537998817419","30.6318228846336","31.374855199808","31.9713920092373","32.6674373658208","33.235922033229","34.5414150807907","35.3437728313195","35.9359685495962","36.429976677827","36.794485152348","37.2325229109319","37.5693641729586","37.8782278343412","38.0712366345674","38.271764043271","38.4411877025762","38.5103210155616","38.9887472577567","39.1574655625742","38.9260121424868","39.0328443782628","39.2305332505656","39.3456735388489","39.1864824060358","39.4154259582903","39.4977170163912","39.5366279072389","40.0016103381927","40.5485803104087","41.3241073862224","41.9507003836392","42.6164663686925","43.2484615574544","44.017773462201","44.4048562440394","44.9032582508386","45.573207628837","46.1850673649322","46.1820769733986","46.9764720413732","47.5109666668987","47.9683947245412","48.2515398816395","48.4075478433211","48.9274484682155","49.5154281657261","49.7958632754967","50.3850555865514","50.5748689028242","49.9145987540511","49.8088005143258","51.65953770233","",
"Angola","AGO","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","26.605003","22.675909","22.799578","22.924878","23.139441","23.266709","23.393126","23.785016","24.090812","24.499095","24.836069","25.29999","25.712887","26.250857","26.683799","25.484518","25.18151","25.722057","26.184474","26.623773","27.054237","27.468112","27.871248","25.858553","26.23136","26.582347","26.938057","23.087315","24.324645","24.655888","24.896147","28.772056","25.911917","23.766479","26.297208","34.172853","34.604424","34.89584","31.580883","30.854574","32.776883","32.633293","34.67587","39.297226","40.486095","41.913757","43.130119","44.890058","46.288467","47.440234","48.737954","49.543506","50.332629","51.291644","52.226462","53.130847","53.973156","54.675882","55.409947","56.034941","55.357622","54.634378","57.821898","",
"Albania","ALB","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","54.60791","55.848269","57.019587","58.181589","59.253108","60.262654","61.300207","62.290355","63.250647","64.170568","65.053856","65.950537","66.815009","67.617399","68.332539","69.013671","69.69512","70.358101","70.992856","71.385729","71.805938","72.115054","72.511462","72.894631","73.258662","73.67999","74.20009","74.610596","74.820374","75.071283","75.29161","75.676348","76.085209","76.639485","76.753488","76.83762","76.69731","74.673624","76.874297","77.356849","78.008743","78.627765","79.029507","79.386743","79.891367","80.497117","81.374089","82.490713","83.374315","83.775245","83.641125","83.377801","82.906563","82.641627","82.603923","83.029225","83.44398","83.905717","84.229271","84.561379","81.035604","80.23833","83.334432","",
"Andorra","AND","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","71.965809","72.611895","73.140774","73.496512","73.971649","74.372911","74.746748","75.0464","75.412785","75.748912","76.210789","76.646923","77.164217","77.600279","78.030439","78.415745","78.922271","79.415402","79.969205","80.524916","81.050977","81.483723","81.846687","82.101765","82.286331","82.399783","82.524829","82.620207","82.944734","83.35336","84.21771","85.084973","86.076823","86.847638","87.561686","87.743583","87.987594","88.100552","88.227564","88.583625","89.198304","89.707111","90.265016","90.779251","91.051242","91.310694","91.576704","91.751151","91.918452","92.103962","92.200065","92.247327","92.326109","92.40978","92.532662","92.613823","92.602839","92.503549","92.408475","92.242757","81.941246","90.414529","92.147296","",
"El mundo árabe","ARB","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","34.2842388192668","35.1422024776915","35.6374376065681","37.397124958193","38.1669459490553","38.7904851898169","39.3791415183392","39.8320430904944","40.6919491342196","41.2154051310871","41.9627467891511","42.9009213472026","43.6274652025895","43.6842165225846","44.618156718278","44.8975871212905","45.6943627738794","47.5073739395809","48.3181085583965","49.2511159867296","49.394236271986","49.7894952910567","49.9409238637926","51.4629271903646","52.5646521383579","53.5868920791949","54.7451103338147","56.1773628320091","56.1661917747202","57.4693152292739","58.1998785068358","58.9856069584513","60.4083962616396","61.5112551201991","61.709113721191","62.3038800146455","62.9231656123875","63.5448596725573","64.1334916271266","64.8694253711872","65.4684590258956","66.0839800209862","66.6758621653958","66.5931643244364","66.5959562418355","67.0736085562905","67.7078625620459","68.4504256412159","69.3139405334042","70.2783685470746","70.5857082746429","70.2155500659206","70.5043381571253","71.1527723247199","71.9545237278217","72.2108651672364","72.5947188477929","73.2521590880148","73.854847566693","74.5764545702633","72.2534521141781","71.9764720245069","74.5911091256868","",
"Emiratos Árabes Unidos","ARE","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","39.594831","40.876918","42.142891","43.422971","44.76193","46.193207","47.696955","49.303048","50.960623","52.628813","54.268658","55.843665","57.334424","58.740843","60.066026","61.314051","62.489402","63.594089","64.623364","65.571812","66.435125","67.210455","67.897531","68.510158","69.067552","69.587951","70.088217","70.585288","71.061122","71.467262","71.756236","71.881801","71.796167","71.534057","71.338127","71.488435","72.25616","73.864472","76.366923","79.346706","82.319357","84.957072","87.095582","88.674314","89.784437","90.559017","91.104236","91.500731","91.797532","92.02779","92.205564","92.344203","92.451665","92.53961","92.618238","92.694253","92.772695","92.858094","92.954368","93.06419","90.592013","91.234305","91.863815","",
"Argentina","ARG","Supervivencia hasta los 65 años, varones (% de la cohorte)","SP.DYN.TO65.MA.ZS","58.409317","59.195855","58.738947","59.06214","58.677858","59.014624","59.72478","59.518407","58.625232","57.960906","59.381391","58.265351","58.752902","58.866611","58.735133","60.07215","59.788365","61.228817","62.207698","63.135699","63.530549","63.200819","63.385135","63.802601","64.269572","64.950724","65.632334","66.370788","67.042386","67.703382","68.443776","68.78327","68.744666","69.181248","70.074671","70.429211","70.413914","71.02648","71.414873","71.767231","72.258708","72.661494","72.615173","73.129516","74.394404","74.743103","75.091671","74.409394","75.200425","75.532181","76.050655","76.398025","76.362298","76.391417","77.148497","77.332385","76.967138","78.415664","78.523732","79.063172","76.915948","72.2491","78.204248","",
